class,cbo,wmc,rfc,lcom,loc
org.springframework.scheduling.quartz.JobDetailFactoryBean,10,21,12,94,82
org.springframework.jndi.JndiObjectTargetSource,4,17,4,1,58
org.springframework.web.servlet.resource.ResourceUrlProvider,16,34,45,61,127
org.springframework.context.annotation.ImportAwareTests,28,9,17,36,194
org.springframework.beans.factory.BeanInitializationException,1,2,0,1,8
org.springframework.web.reactive.DispatcherHandlerTests,11,3,27,3,59
org.springframework.test.context.junit.jupiter.nested.TestConstructorNestedTests,4,2,2,1,63
org.springframework.beans.factory.support.MethodOverride,3,11,3,12,39
org.springframework.context.annotation.configuration.BeanAnnotationAttributePropagationTests,7,12,15,66,97
org.springframework.test.web.client.match.XpathRequestMatchersTests,4,15,15,0,50
org.springframework.core.env.CommandLineArgs,1,8,7,1,27
org.springframework.util.JdkIdGenerator,1,1,1,0,5
org.springframework.cache.config.AnnotationNamespaceDrivenTests,6,5,7,10,25
org.springframework.core.convert.support.StringToUUIDConverter,2,2,3,0,5
org.springframework.web.socket.sockjs.frame.SockJsFrame,5,28,14,57,92
org.springframework.aot.test.generator.file.ResourceFileTests,4,3,9,3,16
org.springframework.test.web.servlet.samples.standalone.FilterTests,11,7,29,21,113
org.springframework.r2dbc.connection.DelegatingConnectionFactoryUnitTests,6,2,9,0,18
org.springframework.web.multipart.support.StandardServletMultipartResolver,6,11,10,6,30
org.springframework.context.support.SimpleThreadScope,6,6,9,8,31
org.springframework.scheduling.annotation.EnableSchedulingTests,19,14,18,0,239
org.springframework.context.event.EventExpressionEvaluator,10,2,5,0,11
org.springframework.test.context.jdbc.MultipleDataSourcesAndTransactionManagersTransactionalSqlScriptsTests,9,3,7,3,31
org.springframework.jdbc.support.incrementer.AbstractIdentityColumnMaxValueIncrementer,6,15,22,26,68
org.springframework.test.context.support.DependencyInjectionTestExecutionListener,5,7,15,0,29
org.springframework.core.io.buffer.LeakAwareDataBufferFactoryTests,3,2,5,0,17
org.springframework.messaging.handler.annotation.support.MethodArgumentTypeMismatchException,3,1,0,0,5
org.springframework.test.context.jdbc.NonTransactionalSqlScriptsTests,11,3,5,3,12
org.springframework.aop.interceptor.SimpleTraceInterceptorTests,4,2,16,1,23
org.springframework.test.context.junit.jupiter.TestConstructorIntegrationTests,6,5,20,10,32
org.springframework.util.LinkedMultiValueMapTests,3,11,20,0,75
org.springframework.messaging.converter.StringMessageConverter,7,11,8,13,34
org.springframework.web.context.support.ServletContextSupportTests,13,14,25,45,176
org.springframework.context.support.Logic,2,3,1,1,13
org.springframework.core.testfixture.security.TestPrincipal,1,6,2,0,21
org.springframework.transaction.event.TransactionalEventListenerTests,22,25,28,42,377
org.springframework.test.web.client.samples.matchers.JsonPathRequestMatchersIntegrationTests,8,11,29,0,55
org.springframework.jdbc.core.SqlInOutParameter,5,8,0,28,26
org.springframework.transaction.interceptor.TransactionProxyFactoryBean,13,8,6,0,31
org.springframework.test.web.servlet.request.MockHttpServletRequestBuilder,24,111,109,794,437
org.springframework.context.annotation.ConfigurationWithFactoryBeanBeanEarlyDeductionTests,16,13,19,78,127
org.springframework.messaging.rsocket.DefaultRSocketRequesterBuilder,28,43,71,173,170
org.springframework.transaction.aspectj.TransactionAspectTests,14,17,19,23,109
org.springframework.r2dbc.connection.init.H2DatabasePopulatorIntegrationTests,2,1,2,0,7
org.springframework.http.server.reactive.HttpHeadResponseDecoratorTests,11,6,15,1,34
org.springframework.beans.factory.config.RuntimeBeanReference,3,17,6,12,56
org.springframework.messaging.handler.invocation.AbstractExceptionHandlerMethodResolver,4,20,19,9,69
org.springframework.aop.support.AbstractPointcutAdvisor,5,9,5,8,31
org.springframework.http.server.DefaultPathContainerTests,7,11,25,45,87
org.springframework.http.codec.ServerSentEvent,4,9,0,8,81
org.springframework.http.server.reactive.AbstractListenerWriteFlushProcessor,10,28,19,64,249
org.springframework.web.reactive.result.method.annotation.RequestMappingHandlerMappingTests,17,15,43,58,100
org.springframework.beans.factory.xml.BeansDtdResolver,7,10,12,1,39
org.springframework.cache.interceptor.VariableNotAvailableException,1,2,0,0,10
org.springframework.http.codec.json.Jackson2JsonEncoder,10,7,10,4,19
org.springframework.beans.factory.xml.OverloadLookup,1,2,0,1,6
org.springframework.web.reactive.resource.CachingResourceTransformer,9,7,11,0,28
org.springframework.test.context.junit4.annotation.meta.ConfigClassesAndProfileResolverWithCustomDefaultsMetaConfig$CustomResolver,1,2,2,0,5
org.springframework.web.servlet.function.PathResourceLookupFunction,7,35,32,3,94
org.springframework.context.groovy.HolyGrailQuest,0,1,0,0,4
org.springframework.web.servlet.mvc.method.annotation.ContinuationHandlerMethodArgumentResolver,6,2,3,1,8
org.springframework.web.reactive.config.DelegatingWebFluxConfiguration,16,16,16,0,44
org.springframework.context.annotation.AbstractCircularImportDetectionTests,5,6,8,6,61
org.springframework.expression.spel.ast.RealLiteral,4,4,3,0,18
org.springframework.cache.annotation.SpringCacheAnnotationParser,17,25,67,64,154
org.springframework.context.groovy.KnightsOfTheRoundTable,1,8,1,8,29
org.springframework.format.datetime.standard.MonthFormatter,1,2,3,1,8
org.springframework.jdbc.datasource.embedded.AbstractEmbeddedDatabaseConfigurer,3,6,8,0,30
org.springframework.core.log.LogAccessor,2,46,14,0,129
org.springframework.mock.web.MockHttpServletResponseTests,9,49,81,0,392
org.springframework.r2dbc.connection.lookup.MapConnectionFactoryLookup,4,7,7,1,30
org.springframework.web.servlet.mvc.condition.PathPatternsRequestCondition,7,42,28,0,112
org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter,97,106,104,1109,479
org.springframework.web.servlet.handler.BeanNameUrlHandlerMappingTests,12,45,17,0,120
org.springframework.web.util.JavaScriptUtilsTests,1,3,5,3,26
org.springframework.web.servlet.config.annotation.UrlBasedViewResolverRegistration,2,9,7,0,37
org.springframework.web.socket.sockjs.transport.handler.HtmlFileTransportHandler,16,10,13,15,56
org.springframework.test.context.transaction.TransactionContextHolder,3,4,3,0,16
org.springframework.scheduling.concurrent.ScheduledExecutorTask,1,18,1,55,56
org.springframework.context.annotation.componentscan.cycle.right.RightConfig,2,0,0,0,2
org.springframework.aop.target.CommonsPool2TargetSource,10,30,26,258,97
org.springframework.aop.aspectj.autoproxy.AnnotationPointcutTests,4,3,7,0,13
org.springframework.web.reactive.config.ResourceHandlerRegistration,8,14,17,25,68
