class,cbo,wmc,rfc,lcom,loc
org.springframework.web.servlet.function.DefaultServerRequestBuilderTests,8,1,31,0,30
org.springframework.web.multipart.support.MultipartFilter,11,12,15,8,50
org.springframework.test.context.junit4.MultipleResourcesSpringJUnit4ClassRunnerAppCtxTests,2,0,0,0,5
org.springframework.web.servlet.mvc.method.annotation.DeferredResultMethodReturnValueHandler,9,11,14,6,56
org.springframework.scheduling.annotation.ScheduledAnnotationBeanPostProcessor,38,91,86,198,323
org.springframework.jdbc.support.rowset.ResultSetWrappingSqlRowSet,7,96,62,278,375
org.springframework.aop.target.dynamic.AbstractRefreshableTargetSource,5,18,8,41,57
org.springframework.jdbc.support.incrementer.HanaSequenceMaxValueIncrementer,2,3,1,3,10
org.springframework.http.converter.AbstractGenericHttpMessageConverter,9,11,10,36,42
org.springframework.context.annotation.ImportVersusDirectRegistrationTests,7,3,7,3,23
org.springframework.web.context.support.StandardServletEnvironment,10,6,7,6,22
org.springframework.context.testfixture.cache.SomeCustomKeyGenerator,2,3,4,1,12
org.springframework.http.server.reactive.AbstractListenerReadPublisher,8,33,19,76,267
org.springframework.http.client.BufferingClientHttpRequestWrapper,7,5,8,0,21
org.springframework.web.reactive.function.server.ToStringVisitor,9,25,14,0,90
org.springframework.cache.aspectj.AspectJEnableCachingTests,5,1,0,0,28
org.springframework.dao.DataAccessException,2,2,0,1,8
org.springframework.util.DigestUtils,4,20,17,90,81
org.springframework.web.socket.server.standard.SpringConfiguratorTests,11,5,10,0,59
org.springframework.expression.common.TemplateParserContext,1,5,0,6,20
org.springframework.transaction.config.SynchTransactionManager,2,0,0,0,2
org.springframework.web.socket.messaging.AbstractSubProtocolEvent,4,5,3,0,22
org.springframework.http.codec.xml.Jaxb2XmlEncoder,16,12,23,15,61
org.springframework.aop.aspectj.autoproxy.AbstractProxyTargetClassConfig,2,2,0,1,13
org.springframework.validation.beanvalidation.MessageSourceResourceBundleLocator,3,2,1,0,10
org.springframework.web.servlet.config.ViewResolversBeanDefinitionParser,19,23,25,3,113
org.springframework.jms.support.JmsUtils,25,50,17,25,175
org.springframework.web.servlet.mvc.method.annotation.RequestAttributeMethodArgumentResolverTests,3,3,0,3,11
org.springframework.beans.factory.xml.ComponentNamespaceHandler,2,1,1,0,5
org.springframework.jdbc.support.JdbcAccessor,8,17,7,16,63
org.springframework.context.i18n.SimpleLocaleContext,2,4,1,0,12
org.springframework.test.context.groovy.GroovySpringContextTests,11,10,10,37,44
org.springframework.jdbc.core.simple.SimpleJdbcCallTests,9,24,47,0,212
org.springframework.dao.support.PersistenceExceptionTranslationInterceptor,11,17,11,8,58
org.springframework.http.client.HttpComponentsClientHttpResponse,5,11,12,0,40
org.springframework.http.codec.LoggingCodecSupport,1,2,2,0,10
org.springframework.web.reactive.result.view.DummyMacroRequestContext,7,14,7,42,48
org.springframework.web.reactive.result.method.AbstractHandlerMethodMapping,12,60,94,186,330
org.springframework.beans.factory.FooFactoryBean,2,2,0,1,8
org.springframework.context.support.StaticMessageSource,4,10,13,0,64
org.springframework.test.web.client.UnorderedRequestExpectationManagerTests,6,9,21,0,55
org.springframework.test.context.junit4.aci.annotation.InitializerConfiguredViaMetaAnnotationTests,11,1,3,0,17
org.springframework.web.reactive.result.method.HandlerMethodMappingTests,9,10,32,0,127
org.springframework.aop.framework.CglibAopProxy,31,62,69,42,542
org.springframework.core.task.TaskTimeoutException,1,2,0,1,8
org.springframework.web.reactive.result.method.annotation.ResponseBodyResultHandler,11,4,8,6,19
org.springframework.test.context.web.BasicAnnotationConfigWacTests,5,2,3,1,18
org.springframework.web.filter.ServletContextRequestLoggingFilter,3,2,2,1,8
org.springframework.test.context.junit4.rules.Subclass1AppCtxRuleTests,4,1,2,0,11
org.springframework.web.socket.sockjs.transport.handler.AbstractTransportHandler,4,3,3,0,11
org.springframework.web.servlet.mvc.method.annotation.ExtendedServletRequestDataBinder,4,6,6,3,25
org.springframework.test.context.junit.jupiter.SpringExtensionTests,16,17,12,124,85
org.springframework.web.servlet.HandlerExecutionChain,8,27,20,0,86
org.springframework.test.context.ContextHierarchyDirtiesContextTests,17,6,10,13,84
org.springframework.http.converter.StringHttpMessageConverterTests,7,12,18,0,94
org.springframework.jdbc.datasource.embedded.EmbeddedDatabaseFactoryTests,5,1,5,0,16
org.springframework.test.web.reactive.server.DefaultWebTestClientBuilder,23,54,35,233,188
org.springframework.web.servlet.handler.PathPatternsTestUtils,3,10,10,15,48
org.springframework.core.io.support.PropertiesLoaderSupport,7,21,10,25,70
org.springframework.messaging.simp.stomp.StompBrokerRelayMessageHandlerIntegrationTests,21,14,53,0,347
org.springframework.test.context.junit4.spr4868.LifecycleBean,4,2,2,0,9
org.springframework.beans.TypeConverterSupport,10,9,6,6,24
org.springframework.format.datetime.DateFormatterTests,3,13,21,0,110
org.springframework.core.io.support.SpringFactoriesLoaderTests,8,7,19,21,31
org.springframework.web.socket.handler.ExceptionWebSocketHandlerDecoratorTests,7,5,12,0,34
org.springframework.util.comparator.NullSafeComparatorTests,1,5,3,1,11
org.springframework.core.annotation.AnnotationIntrospectionFailureTests,9,3,23,3,56
org.springframework.mail.SimpleMailMessage,3,38,27,163,147
org.springframework.context.annotation.ScopeMetadata,1,4,1,2,18
org.springframework.web.client.RestTemplateTests,30,47,107,0,514
org.springframework.aop.support.annotation.AnnotationMatchingPointcutTests,6,3,11,3,54
org.springframework.test.context.hierarchies.standard.TestHierarchyLevelOneWithBareContextConfigurationInSuperclassTests,6,1,6,0,19
org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessorMockTests,28,33,59,0,267
org.springframework.aop.config.AdvisorEntry,1,2,0,0,9
org.springframework.test.context.junit4.profile.importresource.DevProfileAnnotationConfigTests,3,1,5,0,6
org.springframework.scheduling.support.PeriodicTrigger,4,22,7,0,55
org.springframework.test.context.hierarchies.web.EarTests,7,1,5,0,15
org.springframework.test.web.reactive.server.WiretapConnectorTests,10,1,16,0,14
org.springframework.web.servlet.resource.TransformedResource,4,4,2,0,20
org.springframework.web.servlet.mvc.condition.CompositeRequestConditionTests,9,10,11,0,73
org.springframework.core.io.ByteArrayResource,4,11,3,0,33
org.springframework.transaction.support.TransactionSynchronizationManager,6,47,32,165,146
org.springframework.test.context.jdbc.SqlScriptsTestExecutionListenerTests,13,6,18,0,65
org.springframework.aop.target.PrototypeTargetSource,2,3,3,3,11
org.springframework.core.convert.support.GenericConversionServiceBenchmark,7,5,10,6,44
org.springframework.web.reactive.function.client.DefaultWebClientTests,23,25,88,0,233
org.springframework.web.reactive.function.server.HandlerStrategiesTests,2,2,10,1,14
org.springframework.format.datetime.standard.DateTimeFormatterFactoryBean,4,4,1,4,15
org.springframework.aop.testfixture.interceptor.NopInterceptor,3,8,3,4,25
org.springframework.jndi.JndiLocatorDelegate,4,6,5,6,27
org.springframework.messaging.simp.stomp.BufferingStompDecoderTests,6,12,18,0,116
org.springframework.r2dbc.connection.lookup.AbstractRoutingConnectionFactory,10,21,20,41,75
org.springframework.beans.propertyeditors.TimeZoneEditor,0,3,4,1,9
org.springframework.web.servlet.mvc.method.annotation.ModelAndViewResolverMethodReturnValueHandler,10,8,16,1,35
org.springframework.beans.factory.config.SimpleScopeTests,8,2,10,0,34
org.springframework.messaging.protobuf.SecondMsg,14,45,25,287,278
org.springframework.context.annotation.jsr330.ClassPathBeanDefinitionScannerJsr330ScopeIntegrationTests,21,18,38,0,214
org.springframework.scheduling.quartz.MethodInvokingJobDetailFactoryBean,14,23,17,73,100
org.springframework.web.reactive.resource.ContentVersionStrategy,4,1,6,0,12
org.springframework.web.filter.ShallowEtagHeaderFilterTests,8,14,29,0,192
org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessorTests,29,12,36,0,205
org.springframework.expression.spel.standard.SpelExpressionParser,7,4,3,0,16
org.springframework.context.annotation.TestScopeMetadataResolver,3,1,1,0,7
org.springframework.core.convert.ConversionFailedException,3,4,1,0,20
org.springframework.test.context.support.DelegatingSmartContextLoaderTests,12,14,22,0,86
org.springframework.http.converter.xml.Jaxb2CollectionHttpMessageConverter,14,33,24,78,115
org.springframework.web.socket.server.standard.ServerEndpointExporterTests,13,7,15,0,80
org.springframework.aop.config.AopNamespaceHandlerProxyTargetClassTests,4,1,6,0,7
org.springframework.test.context.junit4.statements.SpringFailOnTimeout,1,6,6,0,26
org.springframework.transaction.support.SimpleTransactionScope,7,9,10,10,62
org.springframework.transaction.event.TransactionalApplicationListenerAdapterTests,6,4,24,6,65
org.springframework.beans.factory.config.PropertyResourceConfigurer,6,10,11,19,37
org.springframework.context.support.AbstractRefreshableConfigApplicationContext,7,15,12,41,48
org.springframework.aot.hint.AbstractTypeReference,1,5,3,3,17
org.springframework.expression.spel.standard.SpelExpression,17,74,29,0,349
org.springframework.test.context.configuration.interfaces.DirtiesContextInterfaceTests,7,4,7,0,28
org.springframework.test.web.client.match.MockRestRequestMatchers,10,27,23,153,107
org.springframework.beans.factory.generator.DefaultBeanRegistrationContributionProviderTests,8,2,13,1,22
org.springframework.transaction.annotation.EnableTransactionManagementIntegrationTests,18,12,17,55,150
org.springframework.web.method.annotation.ExpressionValueMethodArgumentResolverTests,11,6,16,3,39
org.springframework.core.log.LogMessage,9,12,5,55,116
org.springframework.web.bind.ServletRequestUtilsBenchmark,3,6,6,15,24
org.springframework.web.reactive.result.method.annotation.RequestAttributeMethodArgumentResolverTests,16,8,40,0,82
org.springframework.web.reactive.result.condition.RequestMethodsRequestConditionTests,6,15,23,45,68
org.springframework.util.ClassUtilsTests,21,35,54,553,300
org.springframework.test.web.servlet.samples.client.standalone.SseTests,5,1,20,0,12
org.springframework.context.testfixture.cache.beans.DefaultCacheableService,6,34,6,287,106
org.springframework.messaging.simp.config.StompBrokerRelayRegistrationTests,6,1,19,0,24
org.springframework.beans.factory.annotation.AnnotationBeanWiringInfoResolver,6,6,13,3,21
org.springframework.scripting.support.ScriptFactoryPostProcessorTests,16,15,34,48,149
org.springframework.messaging.converter.MarshallingMessageConverter,11,21,14,38,82
org.springframework.test.context.web.RequestAndSessionScopedBeansWacTests,7,2,8,0,22
org.springframework.beans.factory.ConcurrentBeanFactoryBenchmark,4,1,2,0,23
org.springframework.beans.propertyeditors.CustomDateEditor,1,11,7,0,35
org.springframework.web.servlet.view.ContentNegotiatingViewResolver,16,57,51,101,195
org.springframework.context.expression.BeanFactoryAccessor,6,5,3,10,18
org.springframework.test.web.servlet.samples.standalone.resultmatchers.CookieAssertionTests,6,11,26,0,46
org.springframework.web.cors.reactive.CorsWebFilter,10,5,7,0,22
org.springframework.web.servlet.config.annotation.ContentNegotiationConfigurer,7,17,18,0,66
org.springframework.web.servlet.tags.form.CheckboxTag,7,10,16,3,37
org.springframework.web.reactive.resource.CachingResourceResolver,9,17,31,10,67
org.springframework.core.style.DefaultToStringStyler,7,11,12,39,45
org.springframework.beans.factory.parsing.NullSourceExtractorTests,2,2,4,1,11
org.springframework.test.web.servlet.samples.client.standalone.resultmatches.HandlerAssertionTests,7,7,29,21,31
org.springframework.beans.BeansException,2,2,0,1,8
org.springframework.web.servlet.tags.form.ValueFormatter,2,7,5,1,20
org.springframework.jndi.support.SimpleJndiBeanFactory,11,39,30,174,156
org.springframework.cache.annotation.CachingConfigurationSelector,6,8,6,1,32
org.springframework.web.servlet.view.script.ScriptTemplateViewResolverTests,4,1,4,0,9
org.springframework.messaging.converter.ProtobufMessageConverter,13,25,27,12,138
org.springframework.jdbc.datasource.lookup.BeanFactoryDataSourceLookup,5,6,3,0,21
org.springframework.aop.config.MethodLocatingFactoryBean,4,10,3,9,36
org.springframework.core.ReactiveAdapter,6,9,8,22,37
org.springframework.beans.AbstractPropertyAccessorTests,42,110,137,4371,1506
org.springframework.transaction.UnexpectedRollbackException,1,2,0,1,8
org.springframework.core.type.classreading.SimpleMethodMetadata,4,18,6,38,52
org.springframework.test.web.servlet.samples.spr.MockMvcBuilderMethodChainTests,9,1,6,0,8
org.springframework.web.bind.MissingMatrixVariableException,4,6,5,0,22
org.springframework.asm.MethodWriter,20,387,69,139,1273
org.springframework.jdbc.core.test.SpacePerson,0,8,0,20,30
org.springframework.messaging.rsocket.annotation.support.RSocketFrameTypeMessageCondition,6,17,15,11,64
example.scannable.MessageBean,2,3,0,0,12
org.springframework.test.context.junit4.spr3896.ExplicitLocationsBaseTests,6,1,5,0,7
org.springframework.context.annotation.AspectJAutoProxyRegistrar,6,4,5,0,14
org.springframework.util.xml.DomContentHandlerTests,9,4,18,0,44
org.springframework.web.reactive.config.DelegatingWebFluxConfigurationTests,24,7,46,0,70
org.springframework.context.annotation.ComponentScanWithAwareTypeFilter,4,0,0,0,2
org.springframework.http.codec.json.Jackson2SmileDecoder,4,2,5,1,10
org.springframework.web.servlet.resource.DefaultResourceTransformerChain,7,13,9,0,33
org.springframework.beans.PropertyMatches,4,20,8,27,127
org.springframework.test.context.web.socket.MockServerContainerContextCustomizer,7,8,4,3,16
org.springframework.asm.Attribute,8,28,9,60,132
org.springframework.context.event.ContextRefreshedEvent,2,1,0,0,5
org.springframework.expression.spel.MapTests,8,15,16,71,114
org.springframework.web.servlet.resource.FixedVersionStrategy,3,2,0,0,10
org.springframework.jdbc.support.CustomSQLExceptionTranslatorRegistry,4,6,7,0,24
org.springframework.web.socket.config.TestWebSocketHandlerDecorator,3,2,3,1,9
org.springframework.core.convert.support.StringToNumberConverterFactory,4,1,0,0,17
org.springframework.aop.aspectj.SimpleAspectInstanceFactory,4,10,7,0,36
org.springframework.beans.factory.generator.config.InjectedFieldResolverTests,8,4,17,6,32
org.springframework.web.filter.RelativeRedirectResponseWrapper,4,4,5,0,16
org.springframework.aop.aspectj.BeforeAdviceBindingTests,8,6,18,0,34
org.springframework.beans.TypeMismatchException,2,13,5,4,39
org.springframework.asm.Edge,2,1,0,0,12
org.springframework.aop.framework.autoproxy.InfrastructureAdvisorAutoProxyCreator,3,4,4,0,10
org.springframework.web.reactive.function.client.WebClientException,1,2,0,1,9
org.springframework.jmx.export.assembler.MethodNameBasedMBeanInfoAssemblerTests,4,7,12,21,31
org.springframework.beans.factory.xml.DefaultLifecycleMethodsTests,6,7,13,0,84
org.springframework.http.codec.CancelWithoutDemandCodecTests,28,8,33,0,106
org.springframework.beans.propertyeditors.ByteArrayPropertyEditor,2,4,3,1,9
org.springframework.beans.factory.support.LookupOverride,3,10,12,0,36
org.springframework.web.servlet.support.ServletUriComponentsBuilder,6,22,30,99,80
org.springframework.jdbc.datasource.init.DataSourceInitializer,6,10,3,13,30
org.springframework.beans.propertyeditors.BeanInfoTests,5,1,7,0,51
org.springframework.r2dbc.connection.lookup.MapConnectionFactoryLookupUnitTests,5,5,12,0,38
org.springframework.core.type.filter.AssignableTypeFilter,4,10,9,3,36
org.springframework.web.servlet.mvc.method.annotation.AbstractRequestAttributesArgumentResolverTests,21,14,32,51,75
org.springframework.cache.transaction.TransactionAwareCacheDecoratorTests,7,15,17,75,143
org.springframework.jms.config.JmsListenerEndpointRegistry,15,33,27,79,121
org.springframework.http.client.SimpleStreamingClientHttpRequest,7,12,14,0,57
org.springframework.core.convert.support.ByteBufferConverterTests,9,6,8,0,60
org.springframework.test.context.jdbc.InferredDataSourceTransactionalSqlScriptsTests,9,3,9,3,33
org.springframework.http.server.reactive.AbstractServerHttpRequest,10,27,21,120,90
org.springframework.context.annotation.SimpleConfigTests,5,2,10,1,19
org.springframework.messaging.support.MessageBuilderTests,6,19,35,171,132
org.springframework.web.servlet.DummyEnvironment,3,13,0,78,41
org.springframework.beans.factory.parsing.ParseStateTests,4,3,8,3,36
org.springframework.jms.listener.AbstractMessageListenerContainer,23,103,58,1155,314
org.springframework.beans.factory.parsing.QualifierEntry,1,3,1,0,12
org.springframework.context.annotation.jsr330.SpringAtInjectTckTests,15,1,5,0,18
org.springframework.jdbc.SQLWarningException,1,2,1,1,8
org.springframework.test.web.servlet.samples.standalone.resultmatchers.ContentAssertionTests,3,5,19,0,34
org.springframework.context.annotation.configuration.Spr7167Tests,4,1,9,0,8
org.springframework.cache.interceptor.CacheOperationExpressionEvaluator,10,8,8,4,36
org.springframework.jmx.export.MBeanExportException,1,2,0,1,8
org.springframework.test.web.reactive.server.AbstractMockServerSpec,13,15,14,18,45
org.springframework.expression.spel.TemplateExpressionParsingTests,14,10,24,0,149
org.springframework.jmx.export.naming.IdentityNamingStrategyTests,3,1,11,0,10
org.springframework.expression.spel.CachedMethodExecutorTests,8,3,6,1,32
org.springframework.web.servlet.tags.form.AbstractFormTag,6,10,11,28,27
org.springframework.transaction.TransactionSupportTests,13,24,31,120,189
org.springframework.aop.aspectj.AspectJAopUtils,7,7,4,3,26
org.springframework.web.servlet.config.annotation.ResourceHandlerRegistration,7,14,15,35,67
org.springframework.test.context.junit.jupiter.web.WebConfig,4,1,0,0,5
org.springframework.test.context.junit4.orm.service.impl.StandardPersonService,6,3,2,0,12
org.springframework.expression.spel.support.DataBindingPropertyAccessor,2,6,2,6,15
org.springframework.beans.factory.xml.ComponentFactoryBean,2,8,2,6,24
org.springframework.jms.annotation.AbstractJmsAnnotationDrivenTests,15,16,30,120,121
org.springframework.test.context.junit.jupiter.FailingBeforeAndAfterMethodsSpringExtensionTests,15,9,23,6,95
org.springframework.ui.freemarker.FreeMarkerConfigurationFactory,12,35,29,121,131
org.springframework.web.cors.UrlBasedCorsConfigurationSource,11,25,25,66,83
org.springframework.test.context.web.MetaAnnotationConfigWacTests,7,2,9,1,17
org.springframework.beans.ExtendedBeanInfoTests,13,62,25,903,752
org.springframework.expression.spel.ast.OpModulus,7,28,21,6,80
org.springframework.messaging.handler.HandlerMethod,9,39,39,144,207
org.springframework.web.context.request.RequestContextListenerTests,6,4,15,3,62
org.springframework.util.concurrent.MonoToListenableFutureAdapter,3,1,1,0,5
org.springframework.web.jsf.DelegatingPhaseListenerTests,8,2,7,0,47
org.springframework.core.annotation.AnnotationAwareOrderComparator,5,17,13,13,47
org.springframework.scheduling.support.CronExpression,4,23,22,7,91
org.springframework.context.annotation.spr10546.ParentConfig,2,1,0,0,5
org.springframework.context.annotation.RoleAndDescriptionAnnotationTests,5,3,9,3,37
org.springframework.expression.spel.SpelDocumentationTests,14,25,28,264,266
org.springframework.core.annotation.MergedAnnotationsRepeatableAnnotationTests,28,30,33,435,156
org.springframework.util.FixedBackOffTests,3,7,7,15,48
org.springframework.jmx.export.annotation.EnableMBeanExportConfigurationTests,18,13,23,36,182
org.springframework.util.xml.XMLEventStreamReader,3,49,37,128,189
org.springframework.dao.CannotAcquireLockException,1,2,0,1,8
org.springframework.jdbc.datasource.embedded.HsqlEmbeddedDatabaseConfigurer,4,4,6,1,19
org.springframework.test.context.support.ContextLoaderUtilsContextHierarchyTests,41,22,23,231,286
org.springframework.util.TypeUtils,4,48,14,6,133
test.aspect.TwoAdviceAspect,4,2,0,0,9
org.springframework.scheduling.support.CronTrigger,5,13,18,0,43
org.springframework.beans.testfixture.beans.DependenciesBean,3,8,0,20,30
org.springframework.http.converter.json.KotlinSerializationJsonHttpMessageConverter,14,29,33,72,102
org.springframework.test.context.junit.jupiter.generics.GenericComicCharactersTests,6,4,8,4,15
org.springframework.scripting.groovy.GroovyClassLoadingTests,4,1,8,0,19
org.springframework.format.number.money.CurrencyUnitFormatter,2,2,2,1,8
org.springframework.test.web.reactive.server.samples.ErrorTests,6,3,17,0,22
org.springframework.aop.config.AopNamespaceHandlerPointcutErrorTests,5,2,7,1,10
org.springframework.context.annotation.AutoProxyRegistrar,7,11,11,0,29
org.springframework.test.context.hierarchies.standard.SingleTestClassWithSingleLevelContextHierarchyTests,7,1,6,0,14
org.springframework.web.servlet.mvc.condition.RequestConditionHolder,5,20,8,0,60
org.springframework.scheduling.support.BitsCronField,5,50,37,168,194
org.springframework.transaction.interceptor.NoRollbackRuleAttribute,1,3,1,3,11
org.springframework.beans.factory.generator.config.BeanDefinitionRegistrarTests,24,24,62,276,280
org.springframework.test.context.junit4.spr3896.ExplicitLocationsInheritedTests,5,1,5,0,7
org.springframework.transaction.annotation.NonAnnotatedServiceImpl,1,1,0,0,4
org.springframework.context.annotation.configuration.PackagePrivateBeanMethodInheritanceTests,7,2,6,1,44
org.springframework.web.servlet.tags.form.TestTypes,0,0,0,0,2
org.springframework.web.method.annotation.RequestParamMapMethodArgumentResolver,16,19,27,1,71
org.springframework.test.context.jdbc.IsolatedTransactionModeSqlScriptsTests,10,3,1,3,11
org.springframework.web.servlet.theme.SessionThemeResolver,5,4,5,0,10
org.springframework.web.reactive.result.method.annotation.ControllerAdviceTests,15,10,26,43,113
org.springframework.core.style.DefaultValueStylerTests,3,7,14,0,55
org.springframework.web.reactive.result.view.freemarker.FreeMarkerMacroTests,14,34,53,486,168
org.springframework.test.context.junit.jupiter.web.PersonController,4,2,0,0,8
org.springframework.jms.connection.ConnectionFactoryUtils,19,34,23,28,191
org.springframework.aot.test.generator.file.SourceFilesTests,3,14,26,0,70
org.springframework.web.reactive.function.server.PublisherHandlerFunctionIntegrationTests,10,4,18,0,79
org.springframework.web.util.TagUtilsTests,7,12,12,66,72
org.springframework.beans.testfixture.beans.BooleanTestBean,0,4,0,2,16
org.springframework.web.servlet.handler.HandlerMappingIntrospectorTests,19,10,33,28,144
org.springframework.oxm.jaxb.BinaryObject,5,5,0,4,21
org.springframework.context.annotation2.NamedStubDao2,1,1,0,0,5
org.springframework.aot.hint.RuntimeHints,4,4,0,6,18
org.springframework.aop.config.AopNamespaceHandlerArgNamesTests,4,2,8,1,8
org.springframework.context.support.ContextTypeMatchClassLoader,6,7,6,6,59
org.springframework.aop.framework.AopProxyUtilsTests,10,14,20,91,115
org.springframework.core.serializer.support.DeserializingConverter,6,5,4,0,22
org.springframework.util.function.SupplierUtils,2,2,1,0,5
org.springframework.aop.framework.adapter.SimpleBeforeAdviceAdapter,6,2,1,1,9
org.springframework.util.concurrent.MonoToListenableFutureAdapterTests,4,4,16,6,27
org.springframework.web.servlet.support.AbstractAnnotationConfigDispatcherServletInitializer,5,6,4,6,23
org.springframework.web.socket.sockjs.client.AbstractSockJsIntegrationTests,27,31,58,128,260
org.springframework.web.testfixture.servlet.DelegatingServletOutputStream,2,7,6,1,27
org.springframework.expression.spel.support.StandardEvaluationContext,22,45,14,580,162
org.springframework.jdbc.Customer,0,5,0,0,19
org.springframework.aop.config.AbstractInterceptorDrivenBeanDefinitionDecorator,11,9,30,10,42
org.springframework.dao.OptimisticLockingFailureException,2,2,0,1,8
org.springframework.context.annotation.ConditionEvaluator,15,19,16,8,110
org.springframework.scheduling.quartz.CronTriggerFactoryBean,9,29,21,148,108
org.springframework.web.client.ExtractingResponseErrorHandler,10,16,13,12,55
org.springframework.r2dbc.core.binding.AnonymousBindMarkers,4,2,2,0,12
org.springframework.validation.beanvalidation.ValidatorFactoryTests,26,14,45,66,304
org.springframework.jca.StubActivationSpec,2,3,0,3,9
org.springframework.web.reactive.function.server.RouterFunctions,24,11,17,55,305
org.springframework.web.util.pattern.CaptureVariablePathElement,5,27,19,16,96
org.springframework.web.reactive.result.method.HandlerMethodArgumentResolverSupport,7,16,17,19,64
org.springframework.validation.BindException,7,47,44,0,143
org.springframework.expression.spel.ast.OperatorBetween,6,7,11,1,23
org.springframework.http.server.reactive.EchoHandlerIntegrationTests,10,3,9,3,25
org.springframework.web.context.request.async.WebAsyncUtils,8,7,5,1,31
org.springframework.web.reactive.accept.RequestedContentTypeResolverBuilder,5,8,10,0,54
org.springframework.web.servlet.resource.ResourceTransformerSupport,8,9,12,4,34
org.springframework.web.socket.adapter.standard.StandardWebSocketSessionTests,5,4,14,0,36
org.springframework.jmx.support.ObjectNameManager,1,7,6,10,22
org.springframework.web.reactive.function.server.DefaultServerResponseBuilderTests,13,30,75,386,175
org.springframework.test.web.servlet.samples.standalone.ResponseBodyTests,2,1,18,0,28
org.springframework.web.socket.WebSocketExtensionTests,4,3,12,3,20
org.springframework.web.servlet.i18n.AcceptHeaderLocaleResolverTests,5,9,11,0,48
org.springframework.jdbc.core.RowMapperTests,9,8,29,0,59
org.springframework.test.context.event.EventPublishingTestExecutionListener,2,8,1,28,26
org.springframework.jdbc.datasource.lookup.AbstractRoutingDataSourceTests,4,7,15,21,102
org.springframework.context.annotation.Spr11310Tests,5,2,4,1,34
org.springframework.cache.interceptor.CacheOperationSourcePointcut,6,9,8,15,34
org.springframework.jdbc.datasource.embedded.DerbyEmbeddedDatabaseConfigurer,8,7,13,4,29
org.springframework.web.context.support.WebApplicationObjectSupport,7,18,9,1,54
org.springframework.validation.annotation.ValidationAnnotationUtils,3,7,9,0,26
org.springframework.aop.TrueClassFilter,2,4,0,6,14
org.springframework.beans.factory.xml.InitDestroyBean,0,6,0,15,26
org.springframework.web.bind.EscapedErrorsTests,7,9,27,0,53
org.springframework.aop.interceptor.ExposedInvocationTestBean,3,3,4,3,13
org.springframework.expression.TypedValue,3,13,4,0,37
org.springframework.test.context.junit4.RepeatedSpringRunnerTests,15,4,17,4,74
org.springframework.core.codec.ByteBufferEncoderTests,5,3,12,3,17
org.springframework.web.socket.handler.PerConnectionWebSocketHandlerTests,8,1,8,0,30
org.springframework.scheduling.annotation.AsyncConfigurerSupport,3,2,0,1,8
org.springframework.jdbc.core.DataClassRowMapper,8,13,14,13,50
org.springframework.context.expression.ApplicationContextExpressionBenchmark,5,1,4,0,25
org.springframework.http.codec.json.Jackson2SmileDecoderTests,9,6,20,8,35
org.springframework.test.context.env.ExtendedDefaultPropertiesFileDetectionTestPropertySourceTests,3,1,2,0,6
org.springframework.scheduling.quartz.QuartzTestBean,0,4,0,2,16
org.springframework.scripting.groovy.GroovyScriptFactoryTests,26,42,54,741,383
org.springframework.web.servlet.tags.ThemeTagTests,8,3,13,1,31
org.springframework.beans.propertyeditors.PathEditor,2,14,14,0,48
org.springframework.test.web.servlet.htmlunit.DelegatingWebConnection,5,6,7,0,37
org.springframework.aop.aspectj.autoproxy.AtAspectJAnnotationBindingTestAspect,4,2,2,0,7
org.springframework.beans.propertyeditors.StringArrayPropertyEditorTests,3,10,11,28,60
org.springframework.r2dbc.connection.init.AbstractDatabasePopulatorTests,9,13,23,36,58
test.aop.TwoAdviceAspect,4,2,0,0,9
org.springframework.scheduling.quartz.AdaptableJobFactory,7,6,8,3,26
org.springframework.jdbc.support.incrementer.AbstractSequenceMaxValueIncrementer,4,6,11,6,32
org.springframework.web.servlet.tags.form.TagIdGeneratorTests,4,2,6,1,13
org.springframework.web.reactive.resource.AbstractFileNameVersionStrategy,2,5,12,3,22
org.springframework.web.servlet.support.MockFilterRegistration,2,14,1,74,44
org.springframework.test.context.junit.jupiter.event.DefaultPublishedEvents,4,1,3,0,36
org.springframework.scripting.groovy.TestException,0,1,0,0,5
org.springframework.jdbc.BadSqlGrammarException,1,3,1,1,13
org.springframework.context.annotation.ComponentScanWithMultipleAnnotationIncludeFilters2,5,0,0,0,2
org.springframework.context.annotation.ComponentScanWithMultipleAnnotationIncludeFilters1,5,0,0,0,2
org.springframework.web.reactive.handler.WebFluxResponseStatusExceptionHandlerTests,5,3,7,3,17
org.springframework.test.context.testng.TimedTransactionalTestNGSpringContextTests,4,2,2,1,8
org.springframework.core.io.support.ResourceArrayPropertyEditor,8,18,17,0,63
org.springframework.http.server.reactive.ContextPathCompositeHandler,8,5,27,4,32
org.springframework.aop.aspectj.ImplicitJPArgumentMatchingTests,2,1,2,0,10
org.springframework.web.servlet.function.RouterFunctions,18,7,6,21,254
org.springframework.web.util.UriTemplateTests,3,23,16,253,135
org.springframework.jmx.export.MBeanExporter,34,131,110,836,479
org.springframework.jms.JmsException,3,12,6,10,33
org.springframework.aop.aspectj.annotation.AspectJProxyFactory,15,15,26,55,65
org.springframework.web.servlet.view.script.ScriptTemplateViewResolver,4,5,6,6,16
